fungi;true_cuts;exon_cuts;all_cuts;all_introns;detectable_introns;exons
Ruscom1;941;178;2189;1958;1833;2315
Panru1;1217;201;2560;2059;1965;2464
Suipic1;1704;327;5142;3304;3059;3969
Pheni1;1423;277;3247;2999;2731;3526
Jaaar1;1958;286;3995;3411;3255;4135
Schco3;2731;423;5745;4512;4140;5506
Hypsu1;1683;233;3534;5011;4815;3634
Diocr1;585;106;1815;1853;1392;2232
Fomfom1;2587;442;6499;4782;4388;5720
Leucr1;898;59;1627;1734;1492;2024
Clapy1;1458;183;2705;2337;2264;2762
Uropr1;176;105;696;353;306;583
Phoaln1;2647;364;5517;5088;4660;5976
Thega1;797;160;1780;1579;1470;1898
Rusrug1;987;179;2400;2196;1948;2600
Mycsan1;3119;349;5860;5801;5568;6802
Suisub1;1257;223;3479;2470;2270;2948
Gaumor1_1;730;187;5154;1945;1632;2416
Trima3;724;200;5718;4932;4498;2122
Exova1;121;172;1138;707;622;1107
Wolco1;2512;405;6404;4869;4626;5745
Cligib1;1586;250;3345;3449;3179;4024
Trich1;1178;364;4845;3338;2391;4305
Fibin1;541;71;1448;1660;1368;2020
Fishe1;654;119;1886;1330;1172;1595
Punst1;2591;290;5498;4827;4609;5683
Vuico1;1996;250;4420;3389;3147;4170
Denbi1;3038;438;7112;5831;5468;6935
Rusoch1;812;163;3175;1831;1647;2196
Tramen1;1234;156;2610;2158;2042;2526
Panst_KUC8834_1_1;1074;135;1898;3315;3204;2359
Coppel1;1396;141;2733;2419;2302;2892
Auramp1;2740;416;6057;4450;4166;5419
Tilalb1;99;92;759;739;482;921
Tillet1;49;185;1356;1341;488;1753
Polbr1;1809;276;3991;2983;2791;3594
Cyastr2;2715;523;6572;5526;5089;6469
Sisbr1;2000;261;4147;3251;3107;3865
RhodotJ31_1;390;67;935;986;868;1195
Mycepi1;3015;457;8897;6061;5341;7350
Amath1;1045;150;2182;2245;2170;2640
Rhivi1;972;156;2051;1807;1759;2133
Pisti1;1244;346;4084;2756;2534;3512
Polsqu1;1799;230;3812;3097;2868;3629
Xenvag1;1352;224;2964;2586;2440;3131
Kocim1;866;157;2138;2352;1679;2793
Exomac1;486;269;1931;1177;1030;1743
Gymlu1;2069;303;4303;3775;3650;4493
Pycsa1;1381;205;2940;2409;2238;2910
Trigue1;191;61;937;686;415;895
Suihi1;1852;339;4346;3332;3197;3962
Pismi1;1555;286;3261;3037;2893;3713
Fibra1;807;97;1850;1386;1339;1631
Cryte1;592;117;1719;1883;1643;2236
Lenti7_1;2303;305;4704;3734;3509;4473
Phlgi1;1082;124;2277;1769;1695;2118
Crafun1;2247;305;4710;4081;3925;4796
Sphst1;3237;449;9717;8804;8341;6907
Paxin1;1417;185;3154;2561;2433;3037
Crevar1;1767;242;3659;3119;2992;3767
Mellp2_3;490;288;7137;2705;2071;3481
Sissu1;1185;127;2036;2098;2052;2457
Helsul1;2044;311;4279;3675;3504;4374
Lenti6_1;1524;201;3131;2489;2370;2963
Malsy1_1;2;156;530;196;38;382
Crula1;1795;311;4169;5524;5300;3504
Polar1;1280;165;2669;2057;1945;2451
Fomro1;849;122;1969;1406;1345;1690
Mycgal1;3181;498;8953;6761;6014;8215
Lenafn1;994;147;2576;1963;1843;2340
Macfu1;1384;171;2718;2419;2323;2808
Atrsp2;551;128;2132;4446;3910;1921
Tramax1;2349;331;5403;4300;4011;5157
Hyabl1;631;225;1915;2078;1776;2514
Treen1;695;167;1922;1877;1367;2205
Porchr1;1398;221;3435;2849;2673;3404
Botbo1;1073;156;2448;2230;2133;2658
Lacbi2;4352;872;14123;9916;8288;12530
Rhosp1;312;30;831;971;771;1159
Panpap1;1731;273;4085;6550;6119;4073
Oudmuc1;2488;425;4905;4457;4221;5256
Marfi1;1574;238;3243;2777;2699;3277
Rhoto_IFO1236_1;675;37;1262;1235;1037;1444
Olipa1;2063;248;3961;3606;3400;4285
Basun1;477;13;1421;1177;1056;1302
ClaPMI390;1170;228;2625;2493;2249;2962
Suidec1;1185;261;4010;2332;2155;2831
Suilu4;1950;358;4959;3479;3342;4208
Dicsqu464_1;1352;218;2967;2496;2305;2996
Ramac1;1293;289;4787;6334;5932;3383
Mereb1;1231;224;3786;4358;3598;5063
Suitom1;1721;343;4671;3225;3033;3844
Mixos1;1092;188;2214;2201;2079;2777
Paxam1;1308;197;2605;4478;4290;2851
Armga1;2240;377;6025;7692;7302;4893
Cryvi1;1022;111;2169;1893;1821;2235
Rhobut1_1;2282;449;5993;4531;4134;5448
Crycu1;378;387;3044;2963;1017;4071
Schco_LoeD_1;997;111;2107;1592;1444;1902
Armost1;2196;336;4712;3703;3596;4410
Stehi1;1760;264;4406;3443;3176;4074
Bolvit1;1521;266;3368;2665;2499;3263
Boled1;2135;326;4104;3941;3801;4731
Aurde3_1;2453;238;4637;4013;3820;4875
Sisni1;1027;117;1854;1846;1771;2165
Cerun2;1066;136;2427;1823;1715;2133
Lopni1;3801;482;7949;5948;5700;7353
Phlbr1;1953;247;4688;3231;3071;3851
Naifl1;415;127;2146;1838;1507;2222
Lenvul1;1308;162;2386;2088;2016;2474
Lepnud1;1268;208;2769;2507;2419;2956
Leugo1_1;56;3;336;2555;2338;2624
Abobie1;1386;185;3039;2366;2275;2775
