fungi;true_cuts;exon_cuts;all_cuts;all_introns;detectable_introns;exons
Chytri1;869;369;2918;2771;2433;3625
Clapol1_1;595;277;3438;3076;2302;3895
Glopol1;20;371;1447;2658;150;3296
Rhihy1;1746;584;5669;4894;4072;6480
Obemuc1;965;375;3703;4202;3570;5460
Ganpr1;1460;256;4228;5000;4156;5986
PirE2_1;5;213;1364;1755;561;2449
Gaesem1;658;380;2889;2188;2061;2964
Hyacur1;654;95;1318;1501;1348;2159
Spipu1;660;170;2052;2432;2349;3194
Neosp1;6;573;6238;4251;459;5409
Orpsp1_1;6;398;2324;2045;482;2708
Caupr_SCcomb;0;48;343;102;22;232
Enthel1;280;187;1862;2386;1551;3023
Caupr1;0;63;435;222;56;521
Anasp1;5;325;1825;2721;406;3379
Pirfi3;15;291;1502;2205;865;2718
Chylag1;748;329;3613;4254;2793;5173
Hompol1;36;65;678;780;358;1036
Powhir1;684;276;3255;2893;2588;3645
Blyhe1;63;80;2428;1329;677;1659
