fungi;true_cuts;exon_cuts;all_cuts;all_introns;detectable_introns;exons
Zycmex1;90;274;3196;2230;1460;2839
Rhimi1_1;482;281;2313;1831;1748;2448
Umbsp_AD052_1;524;269;2571;2237;2061;2806
Phaart1;65;327;2901;2974;1509;3737
Synrac1;985;374;4284;3364;3114;4288
Bacci1;395;433;3441;3033;2588;3951
Spifus1;323;267;2845;1970;1603;2468
Lobtra1;9;416;3625;1996;466;2779
Cunech1;16;252;1501;2196;742;2706
RhiirA4;439;534;7225;5654;4541;7195
Gonbut1;310;213;2481;2350;1699;3021
Cirumb1;88;419;3910;3257;1783;4127
Gloin1;606;602;5408;6748;5726;8264
PnitS608_1;565;303;3088;2584;2264;3257
Kircor1;833;446;4132;2567;2469;3461
Absrep1;387;506;5149;4075;3265;5071
Rhimi_ATCC11559_1;412;275;2024;1822;1672;2424
RhiirB3;442;496;6984;4855;3916;6284
Mormul1;23;288;2775;1840;716;2564
Rhich1;852;410;3964;3337;3111;4255
Rhimi_ATCC52814_1;442;282;2186;1853;1746;2494
PnitS609_1;666;333;3115;2849;2557;3624
Parpar1;488;358;2735;1854;1737;2515
Lichy1;764;200;2278;2178;2066;2685
Umbisa1;447;212;2119;1851;1701;2329
Pilumb1;740;530;4180;3204;2951;4072
Halrad1;426;456;3178;3427;2769;4259
RhiirA5;476;512;7251;5017;4088;6462
Chlpad1;709;450;3986;3816;3386;4797
RhiirA1_1;424;460;6949;4836;3969;6192
Thaele1;281;336;2320;1681;1525;2207
Spoumb1;343;304;2605;1952;1749;2552
Cokrec1;240;481;2649;2573;2136;3364
Rhiir2_1;315;449;7583;3738;2862;5064
Pilano1;351;452;3160;2355;2096;3088
Hesve2finisherSC;624;265;2474;2565;2304;3255
PnitS607_1;563;259;2647;2515;2240;3148
Mycafr1;163;452;3196;2176;1698;2893
RhiirC2;459;501;7055;4985;4066;6397
Sakvas1;404;103;2965;1367;1280;1648
Dicele1;474;362;3785;3310;2852;4182
Radspe1;418;267;2511;2180;1925;2732
Fenlin1;1070;385;5007;3411;3235;4339
Umbra1;450;273;2278;1902;1754;2431
Morel2;9;285;3096;1980;489;2756
Liccor1;957;223;3120;2944;2807;3802
Zyghet1;466;534;3946;3875;3024;4960
Gilper1;640;402;2802;2098;1980;2747
Morel_U14_1;2;427;4769;2763;558;3902
Blatri1;370;389;2645;1812;1658;2411
