fungi;true_cuts;exon_cuts;all_cuts;all_introns;detectable_introns;exons
Phocon1;1288;243;3438;1743;1663;2073
Artel1;3658;471;7244;4918;4635;5835
Leumo1;1250;217;2893;1662;1620;1977
Hydfim1;2172;490;6783;2981;2776;3576
Rhomuc1;635;71;1491;1285;1092;1538
Fibsp1;2102;341;7153;2868;2635;3546
Tramey1;3535;497;8684;4932;4618;5838
Leisp1;1198;143;2631;1649;1543;1964
Pheni1;2032;431;5260;2999;2731;3526
Olipa1;2606;375;5512;3606;3400;4285
Guyne1;1805;393;6117;2463;2373;2904
Mycrub1;4140;823;16362;6355;5805;7720
Phlgi1;1350;185;3173;1769;1695;2118
Gymjun1;2711;614;6623;3904;3632;4580
Hetpy1;723;444;3207;1912;1648;2276
Pipbet1_1;1268;228;3483;1697;1602;2012
Tillet1;55;357;2622;1341;488;1753
Suisub1;1706;405;6060;2470;2270;2948
Mycale1;9634;1492;23267;13906;13164;16423
Sebvebe1;1392;283;4182;2016;1833;2437
Pyccin1;1609;238;4370;2307;2151;2757
Lacbi2;5841;1407;25043;9916;8288;12530
Schpa1;1870;196;3879;2365;2296;2766
Jaaar1;2545;368;5971;3411;3255;4135
Mycbel1;2274;314;5224;3472;3326;4072
Bjead1_1;2586;336;5693;3190;3089;3864
Myccro1;2229;383;7880;3431;3018;4211
Copmic2;2775;496;7166;4053;3662;4958
Traci1;1865;221;3876;2475;2368;2946
Sisni1;1388;173;2829;1846;1771;2165
Naifl1;695;217;3783;1838;1507;2222
Tilalb1;170;121;1048;739;482;921
Mycsan1;3974;584;8248;5801;5568;6802
Punst1;3383;387;7503;4827;4609;5683
Tramen1;1611;197;3517;2158;2042;2526
Panpap1;4841;946;13612;6550;6119;7809
Crywi1;629;84;1682;977;909;1170
Ricmel1;2417;380;5685;3291;3196;3949
Polbr1;2204;334;5180;2983;2791;3594
Sissu1;1539;194;2885;2098;2052;2457
Tulcal1;2681;397;8862;4249;3852;5131
Trigue1;243;64;1283;686;415;895
Clapy1;1826;240;3598;2337;2264;2762
Suisu1;2505;561;7650;3491;3248;4110
Tescy1;7;431;2898;457;128;1168
Lycper1;2460;493;6817;3806;3381;4451
Agahy1;1541;136;3060;1927;1881;2284
Mycreb1;4996;930;15929;7977;7153;9558
Anobom1;1505;301;3849;2121;2018;2494
Cananz1;1580;443;9229;2624;2383;3256
Eryha1;2944;519;7800;4038;3888;5036
Schco_TatD_1;1351;157;2718;1757;1623;2104
Rhoba1_1;1014;51;1752;1948;1620;2351
Rhodsp1;126;262;1699;662;470;1090
Antser1;2844;507;6727;4534;3939;5302
Monpe1_1;257;83;1205;469;416;617
Suicot1;5718;1381;21805;8038;7506;9551
Kocim1;1229;219;3050;2352;1679;2793
Macfu1;1844;292;4226;2419;2323;2808
Botbo1;1524;221;3904;2230;2133;2658
Pirin1;918;108;1984;1269;1217;1506
Melap1finSC_191;0;691;33635;0;0;3521
Hexnit1;3407;476;8639;4813;4416;5793
Pheign1_1;2323;445;6330;3283;3093;3855
Amylap1_1;1745;246;3642;2356;2239;2724
Acain1;1055;314;3797;1894;1759;2808
Rusrug1;1349;294;3883;2196;1948;2600
Obbri1;1528;192;3110;1954;1903;2304
Aurde3_1;2973;311;5935;4013;3820;4875
Plicr1;3527;514;8122;4576;4402;5465
Serla_varsha1;1275;206;4216;1993;1826;2366
Spopa1;592;126;1790;1124;1018;1340
Mycfil1;4894;701;12007;7266;6700;8623
Myc59_1;3097;699;12846;5168;4501;6291
Rhoglu1;908;87;1585;1440;1265;1713
Leucr1;1058;64;2116;1734;1492;2024
Suilu4;2562;593;7900;3479;3342;4208
Phefer1;1808;395;5309;2815;2544;3288
Mycepi1;3870;656;14022;6061;5341;7350
Cersp1;229;108;1520;728;571;957
Mycros1;2426;431;8804;3983;3465;4810
Lenrap1;1042;212;4604;1534;1389;1873
Lacqui1;2500;525;9036;3946;3544;4730
Tralj1;1769;224;3583;2326;2237;2778
Suitom1;2356;570;7773;3225;3033;3844
Pycpun1;2125;313;4843;3005;2844;3590
Fibin1;893;89;2135;1660;1368;2020
Gyman1;3505;725;9383;5125;4695;6041
Sebve1;1463;210;3411;1899;1823;2321
Treen1;987;265;3082;1877;1367;2205
ClaPMI390;1606;314;4209;2493;2249;2962
Neole1;1439;222;3047;1903;1846;2249
Coppel1;1867;221;3826;2419;2302;2892
Rusdis1;1945;336;5004;2901;2741;3453
Sirint1;1104;204;2517;1770;1481;2151
Ruscom1;1250;249;3406;1958;1833;2315
Pismi1;2026;509;4964;3037;2893;3713
Melen1;35;347;2099;466;243;739
Earsca1;2859;445;9141;4192;3798;5091
Auramp1;3354;512;7894;4450;4166;5419
Hydru2;1207;299;5138;2386;2034;2856
Clibor1;1649;325;5602;2539;2242;2958
Micvi1;665;176;2873;2135;1623;2728
Wolco1;3331;598;10101;4869;4626;5745
Hebcy2;2689;493;6316;3714;3503;4473
Mixos1;1443;259;3048;2201;2079;2777
Diocr1;864;165;2704;1853;1392;2232
Aurvu1;1946;274;3670;2532;2427;2989
Lenti7_1;2798;418;6167;3734;3509;4473
Mycflo1;2559;508;10155;4034;3604;4842
Vuico1;2448;342;6054;3389;3147;4170
Artele1122_1;2198;295;4865;3025;2821;3623
Panru1;1582;316;3979;2059;1965;2464
Copscl1;1017;147;2355;1367;1310;1654
Chiap1;850;156;1949;1440;1368;1757
Phoaln1;3527;623;9037;5088;4660;5976
Fomros1;1913;244;4519;2475;2350;2924
Suibr2;1663;379;5418;2319;2190;2820
Armme1_1;3533;389;9553;4953;4618;5682
Naose1;949;491;3210;2636;2602;3167
Hypsu1;3775;685;9630;5011;4815;6037
Paxru2;1466;375;5855;2204;2043;2695
Cryte1;949;151;2725;1883;1643;2236
Rhomi1;1905;397;6872;3649;3146;4394
Trich1;1658;553;8082;3338;2391;4305
Lenvul1;1677;241;3208;2088;2016;2474
Exomac1;747;371;3179;1177;1030;1743
Abobi1;3357;634;9971;4578;4271;5342
Pycsa1;1751;251;3866;2409;2238;2910
Mereb1;2056;320;6743;4358;3598;5063
Uropr1;211;135;1080;353;306;583
Cryvi1;1367;142;3124;1893;1821;2235
Sclci1;1267;387;4639;1926;1796;2466
Rhoto_IFO0880_2;1594;55;2692;2416;2121;2842
Copmar1;2646;361;5380;3342;3254;3927
Mycami1;3895;701;9581;6422;5851;7673
Mycalb1;5530;899;15488;8352;7710;9968
Lenlat1;1538;278;4317;2079;2011;2431
Tramax1;3064;404;7477;4300;4011;5157
Ustsp1;8;80;944;364;64;537
Lenafn1;1346;284;4631;1963;1843;2340
Rusoch1;1189;236;5367;1831;1647;2196
Varmin1;843;109;2403;1364;1228;1630
Trapub1;1212;116;3186;1521;1428;1875
Thacu1;5236;1044;14857;6843;6483;8037
Phchr2;2510;336;5559;3236;3109;3911
Pycco1;1159;166;2688;1588;1495;1895
Crevar1;2387;451;5997;3119;2992;3767
Polsqu1;2219;267;4857;3097;2868;3629
Pisti1;1719;564;7335;2756;2534;3512
Meimi1;164;1242;7304;688;497;1776
Dicsqu18370_1;2209;362;4865;3079;2876;3694
Calvi1;791;155;1761;989;946;1246
Atrsp2;2680;510;9045;4446;3910;5467
Mycvit1;1911;324;6222;3023;2630;3703
Tilwa1;519;34;922;709;611;899
Gymear1;1880;562;12229;2874;2558;3540
Triol1;75;104;989;700;226;954
Pycci1;1047;93;2834;1486;1356;1766
Ompol1;1208;150;3762;1689;1548;1954
Bolvit1;1943;357;4764;2665;2499;3263
Armost1;2836;569;7248;3703;3596;4410
Fomme1;2326;592;29761;3664;3289;4412
Tralac1;2133;291;5909;2988;2791;3567
Phaca1;3106;757;9993;4228;3965;5119
Felpe1;2977;553;8948;4210;3765;5037
Pucst1;328;228;4838;1486;951;1849
Onnsc1;1100;256;2988;1622;1524;1940
Phlbr1;2536;357;6946;3231;3071;3851
Pucgr2;606;561;14379;2735;1948;3571
Amycha1;3397;445;6989;4564;4312;5370
Plucer1;2199;317;4430;2825;2754;3279
Cylto1;1233;190;2587;1540;1523;1871
Galma1;2964;568;7202;3961;3802;4760
Pilcr1;1634;451;5850;2382;2214;3014
Paxam1;3307;612;7646;4478;4290;5307
Fomro1;1062;157;2637;1406;1345;1690
Psean1_1;39;93;789;266;134;687
Fompi3;1575;211;4625;2113;1986;2551
Basun1;674;15;2120;1177;1056;1302
Exigl1;2753;320;5698;3615;3450;4394
Calco1;826;157;2047;1143;1041;1466
Dicsqu463_1;1293;184;2933;1851;1693;2210
Gaumor1_1;1069;306;9963;1945;1632;2416
Rhoto_IFO1236_1;761;35;1363;1235;1037;1444
Suigr1;1730;371;4547;2284;2203;2733
Lenti6_1;1897;237;3989;2489;2370;2963
Mychae1;2375;447;4879;3663;3484;4291
Copci_AmutBmut1;1550;187;3199;2021;1900;2394
Monili2;170;131;931;260;216;522
Ramac1;4188;1073;22112;6334;5932;7596
Daequ1;977;207;2440;1283;1241;1570
Phohig1;5432;936;14395;8289;7320;9659
Paxin1;1895;244;4825;2561;2433;3037
Helsul1;2728;492;6354;3675;3504;4374
Rhoto_IFO0559_1;1306;48;2218;1960;1750;2307
Rhoto1;1034;21;1727;1551;1385;1826
Trabet1;1321;229;3761;1819;1674;2234
Tragib1;1191;186;3182;1727;1583;2081
Fishe1;860;141;3009;1330;1172;1595
Dacsp1;1023;187;3118;1368;1306;1740
Cysmur1;3236;485;7233;4404;4155;5265
Spore1;31;97;945;168;105;614
Pleery1;1828;337;4426;2461;2365;2914
Panst_KUC8834_1_1;2209;354;4570;3315;3204;3950
Elmca1;3909;672;8666;5498;5292;6516
Sclhys1_1;1998;473;14713;2762;2615;3312
Denbi1;4105;839;12486;5831;5468;6935
Triab1_1;1494;239;4203;1947;1861;2304
Agrped1;2158;290;4934;2815;2726;3300
Scysp1_1;1591;346;4910;2435;2252;2910
Fibra1;1050;133;2764;1386;1339;1631
PosplRSB12_1;2766;418;7992;4240;3649;4989
Fomfom1;3235;532;9012;4782;4388;5720
Rhivi1;1347;283;3479;1807;1759;2133
Sphst1;6712;1196;27376;8804;8341;10586
Cerun2;1379;201;3902;1823;1715;2133
