fungi;true_cuts;exon_cuts;all_cuts;all_introns;detectable_introns;exons
Synplu1;907;712;5952;4545;3711;5538
Thasp1;409;131;1806;1651;1464;1994
Coemoj1;26;243;908;204;109;587
Conco1;308;334;2301;1009;928;1559
Linpe1;6;379;1623;1149;451;1929
Pipcy3_1;86;85;684;489;367;695
Coere1;1;396;1764;290;25;790
Kicala1;0;379;1643;641;87;1266
Conth1;369;229;1697;1293;1240;1746
Rambr1;0;224;853;168;31;492
DimcrSC1;2;173;1978;704;47;1108
Marpt1;1;140;665;195;39;488
Basme2finSC;1183;525;7319;3652;3384;4816
Synfus1;594;335;2850;2287;2045;2847
Coespi1;1;193;861;165;35;433
Synps1;149;66;663;678;562;930
